order_id,order_date,customer_id,product_id,quantity,discount,sales
O00001,2025-02-28,C0218,P0125,10,0.13,306450.1
O00002,2026-01-07,C0140,P0056,9,0.03,249114.91
O00003,2026-06-16,C0221,P0029,5,0.2,1576.84
O00004,2025-01-28,C0250,P0135,5,0.01,59085.97
O00005,2025-01-14,C0203,P0154,1,0.0,15179.29
O00006,2026-01-14,C0155,P0055,3,0.23,95988.54
O00007,2026-06-21,C0149,P0084,2,0.0,7303.74
O00008,2025-02-02,C0221,P0045,3,0.11,3688.2
O00009,2024-11-13,C0118,P0129,9,0.25,205967.07
O00010,2025-09-13,C0182,P0019,7,0.26,82533.82
O00011,2025-10-12,C0022,P0112,1,0.14,37217.79
O00012,2026-01-28,C0040,P0081,10,0.13,36115.88
O00013,2026-03-31,C0208,P0182,7,0.09,263642.96
O00014,2025-05-18,C0208,P0006,6,0.05,82176.84
O00015,2024-12-15,C0236,P0177,6,0.03,43660.83
O00016,2026-03-06,C0055,P0063,7,0.18,167146.62
O00017,2024-11-29,C0269,P0021,7,0.26,192739.56
O00018,2025-12-20,C0174,P0057,6,0.23,196638.98
O00019,2024-09-27,C0040,P0131,2,0.16,38694.72
O00020,2026-01-26,C0100,P0199,6,0.11,23172.18
O00021,2025-10-24,C0076,P0061,2,0.04,62074.66
O00022,2025-02-19,C0102,P0045,10,0.05,13122.82
O00023,2026-01-07,C0039,P0046,8,0.14,323906.13
O00024,2025-04-18,C0289,P0195,10,0.13,153259.81
O00025,2025-02-19,C0290,P0165,10,0.1,31712.85
O00026,2024-11-08,C0162,P0039,8,0.02,391963.94
O00027,2026-03-17,C0227,P0162,5,0.24,75875.25
O00028,2024-08-08,C0029,P0091,9,0.02,266587.23
O00029,2025-09-02,C0237,P0116,1,0.02,48433.42
O00030,2025-05-28,C0147,P0020,2,0.18,73163.37
O00031,2025-09-24,C0260,P0099,8,0.17,322121.14
O00032,2026-06-20,C0022,P0116,10,0.2,395374.88
O00033,2026-05-15,C0165,P0155,8,0.15,103956.97
O00034,2025-03-02,C0032,P0116,2,0.24,75121.23
O00035,2026-01-23,C0176,P0183,2,0.15,36372.38
O00036,2025-03-29,C0089,P0011,4,0.21,49264.18
O00037,2025-09-25,C0225,P0135,9,0.18,88091.81
O00038,2025-09-14,C0187,P0096,5,0.12,90096.91
O00039,2025-01-09,C0174,P0174,10,0.02,148483.23
O00040,2024-07-22,C0172,P0017,6,0.03,15166.34
O00041,2026-01-13,C0198,P0073,5,0.22,66694.8
O00042,2026-01-04,C0077,P0086,2,0.17,18787.86
O00043,2026-06-16,C0073,P0090,5,0.29,77901.8
O00044,2024-11-25,C0201,P0034,10,0.21,358310.42
O00045,2024-12-13,C0044,P0080,9,0.11,379551.85
O00046,2025-04-11,C0169,P0033,9,0.03,367019.94
O00047,2024-10-25,C0217,P0131,6,0.01,136813.47
O00048,2025-11-22,C0159,P0047,4,0.1,43985.45
O00049,2025-07-06,C0249,P0050,4,0.3,47956.83
O00050,2025-07-23,C0080,P0020,5,0.25,167294.29
O00051,2026-02-09,C0052,P0130,9,0.25,308138.65
O00052,2025-04-10,C0270,P0010,6,0.26,74706.95
O00053,2025-04-07,C0068,P0153,7,0.05,74122.36
O00054,2025-02-26,C0093,P0178,10,0.24,208718.72
O00055,2025-07-08,C0085,P0185,8,0.01,171473.07
O00056,2025-04-28,C0187,P0174,4,0.29,43029.83
O00057,2025-11-22,C0146,P0193,8,0.07,207436.95
O00058,2025-09-10,C0123,P0080,8,0.27,276726.94
O00059,2025-03-05,C0100,P0095,10,0.3,222430.32
O00060,2025-03-22,C0237,P0197,5,0.23,143724.27
O00061,2024-09-24,C0258,P0136,7,0.29,73715.09
O00062,2025-11-01,C0103,P0155,3,0.26,33938.89
O00063,2026-04-08,C0027,P0165,8,0.26,20860.01
O00064,2024-12-07,C0284,P0027,9,0.26,69404.13
O00065,2025-06-04,C0146,P0022,3,0.08,38468.44
O00066,2025-12-12,C0263,P0038,7,0.03,283564.32
O00067,2024-12-03,C0114,P0116,6,0.28,213502.44
O00068,2025-06-13,C0213,P0014,7,0.15,114600.15
O00069,2025-06-02,C0121,P0099,2,0.11,86351.75
O00070,2024-12-14,C0015,P0082,2,0.25,350.28
O00071,2025-06-16,C0172,P0038,3,0.01,124033.29
O00072,2024-09-28,C0242,P0179,3,0.23,52530.32
O00073,2024-12-17,C0241,P0115,10,0.0,22780.0
O00074,2026-04-20,C0041,P0005,5,0.06,133942.24
O00075,2024-07-24,C0077,P0141,10,0.16,352237.37
O00076,2024-08-06,C0057,P0199,5,0.07,20178.02
O00077,2026-06-05,C0063,P0013,4,0.13,72316.52
O00078,2025-03-26,C0235,P0017,2,0.25,3908.85
O00079,2025-09-06,C0256,P0153,9,0.0,100315.98
O00080,2024-07-13,C0264,P0148,4,0.22,113063.84
O00081,2024-09-09,C0150,P0110,1,0.18,13989.01
O00082,2024-07-26,C0124,P0147,7,0.06,154430.89
O00083,2025-12-16,C0044,P0135,6,0.02,70186.97
O00084,2024-06-28,C0270,P0140,9,0.24,86226.96
O00085,2025-08-23,C0260,P0142,1,0.12,13653.86
O00086,2025-05-01,C0241,P0012,7,0.29,61218.67
O00087,2024-12-01,C0130,P0192,1,0.11,43369.59
O00088,2026-05-18,C0035,P0089,4,0.22,109252.14
O00089,2026-04-02,C0054,P0198,10,0.22,62046.82
O00090,2025-08-06,C0171,P0035,1,0.11,28634.16
O00091,2025-04-17,C0174,P0165,3,0.25,7928.21
O00092,2025-07-08,C0238,P0179,8,0.19,147357.79
O00093,2025-03-09,C0070,P0017,8,0.01,20638.73
O00094,2026-05-03,C0104,P0012,4,0.27,35967.51
O00095,2025-05-10,C0162,P0080,9,0.12,375287.22
O00096,2024-09-11,C0279,P0122,5,0.01,94359.23
O00097,2025-07-08,C0098,P0074,6,0.26,182588.65
O00098,2025-04-04,C0025,P0168,6,0.08,69594.17
O00099,2026-04-13,C0189,P0112,7,0.22,236289.69
O00100,2025-10-05,C0198,P0087,3,0.15,7843.65
O00101,2025-09-20,C0255,P0095,9,0.08,263103.29
O00102,2026-05-04,C0043,P0187,7,0.02,42527.47
O00103,2026-03-19,C0093,P0140,5,0.1,56728.26
O00104,2026-05-25,C0041,P0084,5,0.09,16616.01
O00105,2025-04-24,C0219,P0043,8,0.11,60325.48
O00106,2025-12-12,C0022,P0187,6,0.18,30500.75
O00107,2025-02-23,C0223,P0071,1,0.02,34203.11
O00108,2026-01-25,C0208,P0094,9,0.24,223054.59
O00109,2025-04-18,C0082,P0008,3,0.25,53351.98
O00110,2025-01-24,C0225,P0009,3,0.02,96951.35
O00111,2024-10-26,C0188,P0093,7,0.28,145427.79
O00112,2024-12-23,C0017,P0155,3,0.2,36690.7
O00113,2025-01-19,C0190,P0096,8,0.23,126135.67
O00114,2025-06-04,C0294,P0036,9,0.11,104785.22
O00115,2026-03-02,C0161,P0167,5,0.07,1122.93
O00116,2024-11-07,C0059,P0007,3,0.15,41259.61
O00117,2026-04-23,C0199,P0144,2,0.08,16310.57
O00118,2025-08-12,C0134,P0181,8,0.06,325526.29
O00119,2026-02-10,C0147,P0178,8,0.06,206521.68
O00120,2026-06-22,C0070,P0019,8,0.05,121092.09
O00121,2026-04-08,C0228,P0023,6,0.2,66251.57
O00122,2025-01-19,C0034,P0141,9,0.09,343431.43
O00123,2026-01-03,C0154,P0041,3,0.24,70918.6
O00124,2024-11-28,C0261,P0058,2,0.3,23916.07
O00125,2025-02-09,C0072,P0061,8,0.01,256057.96
O00126,2024-11-19,C0284,P0147,6,0.14,121103.86
O00127,2024-12-18,C0283,P0034,10,0.27,331096.97
O00128,2025-03-31,C0034,P0080,7,0.3,232185.28
O00129,2025-12-08,C0246,P0135,7,0.23,64338.06
O00130,2025-05-01,C0295,P0019,3,0.29,33937.65
O00131,2026-03-19,C0038,P0116,8,0.2,316299.9
O00132,2025-12-22,C0177,P0033,9,0.19,306480.57
O00133,2025-12-05,C0094,P0197,3,0.13,97433.86
O00134,2025-01-19,C0029,P0032,9,0.05,144262.95
O00135,2025-11-25,C0085,P0042,6,0.28,122005.79
O00136,2026-04-28,C0116,P0089,9,0.27,230059.78
O00137,2026-01-18,C0041,P0065,4,0.19,44124.69
O00138,2026-02-02,C0283,P0071,3,0.19,84809.75
O00139,2025-07-18,C0274,P0024,9,0.19,122900.58
O00140,2026-03-24,C0298,P0040,3,0.2,5061.31
O00141,2024-11-26,C0173,P0145,1,0.25,18854.67
O00142,2024-11-17,C0015,P0021,1,0.28,26790.06
O00143,2026-02-09,C0296,P0068,4,0.23,150404.69
O00144,2025-08-28,C0214,P0159,1,0.15,17395.23
O00145,2026-05-26,C0280,P0075,5,0.14,147721.81
O00146,2025-06-04,C0208,P0077,8,0.02,233998.36
O00147,2026-06-17,C0031,P0041,8,0.12,218976.74
O00148,2025-09-08,C0238,P0053,6,0.18,151703.43
O00149,2025-02-25,C0161,P0184,6,0.22,216014.53
O00150,2026-03-23,C0177,P0103,3,0.23,56103.25
O00151,2026-01-24,C0264,P0144,2,0.1,15955.99
O00152,2025-04-08,C0239,P0032,5,0.13,73396.94
O00153,2025-08-20,C0073,P0025,1,0.09,10592.35
O00154,2024-10-22,C0197,P0158,7,0.07,288276.8
O00155,2025-11-26,C0082,P0084,10,0.22,28484.59
O00156,2026-05-27,C0098,P0196,3,0.15,51252.81
O00157,2025-12-04,C0264,P0120,8,0.26,139283.27
O00158,2024-12-10,C0255,P0006,2,0.28,20760.47
O00159,2026-05-29,C0259,P0118,4,0.06,164395.1
O00160,2025-11-24,C0181,P0013,1,0.08,19118.16
O00161,2026-03-14,C0241,P0074,9,0.0,370112.13
O00162,2026-04-02,C0056,P0111,3,0.26,80652.47
O00163,2024-08-15,C0188,P0196,7,0.11,125217.64
O00164,2024-11-15,C0206,P0014,10,0.17,159862.4
O00165,2026-02-23,C0186,P0142,5,0.02,76027.18
O00166,2024-12-28,C0259,P0116,9,0.08,409213.0
O00167,2024-10-31,C0061,P0033,2,0.12,73992.56
O00168,2025-07-12,C0174,P0143,6,0.23,30757.42
O00169,2026-03-05,C0102,P0155,9,0.12,121079.3
O00170,2024-11-17,C0021,P0012,1,0.04,11824.93
O00171,2026-04-29,C0171,P0122,9,0.14,147543.52
O00172,2024-10-25,C0264,P0036,6,0.28,56513.38
O00173,2026-02-17,C0164,P0042,7,0.3,138386.19
O00174,2025-06-22,C0154,P0152,6,0.15,60015.32
O00175,2024-09-25,C0261,P0137,8,0.21,3185.85
O00176,2026-05-11,C0154,P0122,1,0.11,16965.6
O00177,2025-11-21,C0057,P0107,10,0.09,321230.36
O00178,2025-07-31,C0014,P0153,8,0.08,82036.18
O00179,2025-06-15,C0297,P0148,4,0.22,113063.84
O00180,2024-09-11,C0299,P0123,3,0.16,4766.25
O00181,2025-08-29,C0195,P0038,4,0.01,165377.72
O00182,2024-09-10,C0057,P0049,1,0.13,23215.07
O00183,2025-04-05,C0215,P0039,7,0.21,276474.56
O00184,2025-07-31,C0211,P0129,10,0.28,219698.21
O00185,2025-12-12,C0032,P0181,3,0.16,109085.94
O00186,2025-07-03,C0288,P0084,8,0.16,24540.57
O00187,2026-05-06,C0161,P0045,8,0.27,8067.08
O00188,2025-11-26,C0176,P0140,6,0.2,60510.14
O00189,2025-03-28,C0136,P0157,8,0.06,355726.91
O00190,2024-07-05,C0127,P0072,9,0.09,357482.93
O00191,2026-02-18,C0153,P0198,5,0.21,31421.14
O00192,2025-05-23,C0251,P0082,8,0.1,1681.34
O00193,2025-12-19,C0141,P0074,2,0.17,68265.13
O00194,2026-05-07,C0279,P0098,7,0.25,10138.75
O00195,2025-08-07,C0075,P0075,1,0.09,31262.06
O00196,2025-10-26,C0041,P0089,8,0.2,224106.94
O00197,2025-10-14,C0246,P0055,4,0.25,124660.44
