product_id,product_name,category,subcategory,brand,price,cost
P0001,Computers Model 1,Electronics,Computers,LG,46046.47,33066.17
P0002,Computers Model 2,Electronics,Computers,LG,45012.34,30495.54
P0003,Tables Model 3,Furniture,Tables,HP,20179.78,12178.08
P0004,Accessories Model 4,Electronics,Accessories,LG,33279.98,21056.27
P0005,Computers Model 5,Electronics,Computers,Lenovo,28498.35,18299.54
P0006,Accessories Model 6,Electronics,Accessories,Sony,14416.99,9377.69
P0007,Binders Model 7,Office Supplies,Binders,LG,16180.24,10591.99
P0008,Computers Model 8,Electronics,Computers,Lenovo,23711.99,19335.07
P0009,Paper Model 9,Office Supplies,Paper,LG,32976.65,19763.74
P0010,Binders Model 10,Office Supplies,Binders,Lenovo,16825.89,13232.69
P0011,Computers Model 11,Electronics,Computers,HP,15589.93,12195.96
P0012,Phones Model 12,Electronics,Phones,Lenovo,12317.64,8207.22
P0013,Accessories Model 13,Electronics,Accessories,HP,20780.61,14970.72
P0014,Binders Model 14,Office Supplies,Binders,HP,19260.53,12324.4
P0015,Binders Model 15,Office Supplies,Binders,Lenovo,376.69,287.35
P0016,Accessories Model 16,Electronics,Accessories,LG,11020.17,8611.58
P0017,Writing Model 17,Office Supplies,Writing,Lenovo,2605.9,1530.24
P0018,Accessories Model 18,Electronics,Accessories,Sony,6753.62,4475.12
P0019,Binders Model 19,Office Supplies,Binders,Apple,15933.17,12178.32
P0020,Binders Model 20,Office Supplies,Binders,Sony,44611.81,28969.09
P0021,Chairs Model 21,Furniture,Chairs,Samsung,37208.41,24785.86
P0022,Computers Model 22,Electronics,Computers,Apple,13937.84,10762.61
P0023,Paper Model 23,Office Supplies,Paper,Samsung,13802.41,7275.51
P0024,Accessories Model 24,Electronics,Accessories,Dell,16858.79,13698.77
P0025,Phones Model 25,Electronics,Phones,LG,11639.95,8647.11
P0026,Phones Model 26,Electronics,Phones,Apple,20801.91,12809.99
P0027,Chairs Model 27,Furniture,Chairs,Lenovo,10421.04,6742.94
P0028,Binders Model 28,Office Supplies,Binders,Sony,1074.64,868.56
P0029,Tables Model 29,Furniture,Tables,Lenovo,394.21,245.64
P0030,Tables Model 30,Furniture,Tables,Lenovo,26957.21,20409.89
P0031,Paper Model 31,Office Supplies,Paper,Apple,24462.65,14568.18
P0032,Accessories Model 32,Electronics,Accessories,Apple,16872.86,12447.1
P0033,Paper Model 33,Office Supplies,Paper,Sony,42041.23,34551.15
P0034,Paper Model 34,Office Supplies,Paper,LG,45355.75,32073.88
P0035,Phones Model 35,Electronics,Phones,Apple,32173.21,17614.67
